time,raw_bull_score,raw_bear_score,final_score,adx,rel_vol,vix_pine,htf_ema_1_pine,htf_ema_2_pine,htf_ema_3_pine,htf_ema_4_pine,market_close_pine,market_ema_pine,leader_close_pine,leader_ema_pine,volume_score_pine,bull_count_pine,bear_count_pine
2026-05-14 14:40:00+00:00,65.5,38.5,49.41666666666666,28.683133896657463,1.8237070794892187,17.87,299.0008802663145,297.8437510449216,285.32143705954775,270.4329897602381,746.97,745.1478165881674,719.7,717.4853831514848,8,3,1
2026-05-14 14:45:00+00:00,88.75,16.25,53.75,26.82125905084732,1.4279199411864147,17.87,299.0008802663145,297.8437510449216,285.32143705954775,270.4329897602381,747.24,745.3380150801522,720.2,717.7321665013499,6,3,1
2026-05-14 14:50:00+00:00,82.75,16.25,53.75,25.092375265452176,1.3022203187085624,17.87,299.0008802663145,297.8437510449216,285.32143705954775,270.4329897602381,747.32,745.5181955274111,720.02,717.9401513648635,6,3,1
2026-05-14 14:55:00+00:00,74.75,8.25,43.75,23.5570089134087,1.082689434832483,17.87,298.9605729693768,297.8572736772014,285.32143705954775,270.4329897602381,747.18,745.6692686612828,719.43,718.0755921498759,0,3,1
2026-05-14 15:00:00+00:00,64.5,34.5,47.75,22.99296307207943,1.633077368252844,17.87,298.9605729693768,297.8572736772014,285.32143705954775,270.4329897602381,747.59,745.8438806011661,719.66,718.2196292271599,8,3,1
2026-05-14 15:05:00+00:00,74.75,21.25,49.75,21.60234479366776,1.293652887340425,17.87,298.9605729693768,297.8572736772014,285.32143705954775,270.4329897602381,747.78,746.0198914556056,720.52,718.4287538428727,6,3,1
2026-05-14 15:10:00+00:00,78.0,2.0,53.0,20.134697612377607,0.8788922993764599,17.87,298.9334754267062,297.8572736772014,285.32143705954775,270.4329897602381,748.02,746.201719505096,720.86,718.6497762207933,0,4,0
2026-05-14 15:15:00+00:00,83.0,0.0,45.0,19.2164904913508,1.0113281660996738,17.87,298.9334754267062,297.8572736772014,285.32143705954775,270.4329897602381,748.44,746.4051995500872,721.31,718.8916147461757,0,4,0
2026-05-14 15:20:00+00:00,83.0,2.0,45.0,18.36386959325447,0.79889802969536,17.87,298.9334754267062,297.8572736772014,285.32143705954775,270.4329897602381,748.49,746.5947268637157,721.38,719.1178315874324,0,4,0
2026-05-14 15:25:00+00:00,75.0,0.0,41.0,17.97584109523037,0.610586882676506,17.87,298.9522503879147,297.8572736772014,285.32143705954775,270.4329897602381,748.51,746.7688426033778,721.39,719.3243923522112,0,4,0
2026-05-14 15:30:00+00:00,75.0,2.0,41.0,17.49275268428994,0.6008141088631204,17.87,298.9522503879147,297.8572736772014,285.32143705954775,270.4329897602381,748.65,746.9398569121616,721.12,719.4876294111011,0,4,0
2026-05-14 15:35:00+00:00,79.0,1.0,41.0,16.40208764978368,0.6347128240923244,17.87,298.9522503879147,297.8572736772014,285.32143705954775,270.4329897602381,748.465,747.0785062837833,721.08,719.6323903737283,0,4,0
2026-05-14 15:40:00+00:00,79.0,1.0,41.0,15.960756950795114,0.6644652781421548,17.87,298.9643185344679,297.8572736772014,285.32143705954775,270.4329897602381,748.77,747.232278439803,721.3,719.7839912488439,0,4,0
2026-05-14 15:45:00+00:00,75.0,0.0,41.0,15.550949873162873,0.486486373139242,17.87,298.9643185344679,297.8572736772014,285.32143705954775,270.4329897602381,748.78,747.3729803998209,721.16,719.9090829534945,0,4,0
2026-05-14 15:50:00+00:00,64.75,12.25,34.75,14.615932192208136,0.6529734658296318,17.87,298.9643185344679,297.8572736772014,285.32143705954775,270.4329897602381,748.68,747.4918003634735,721.379,720.0427117759041,0,3,1
2026-05-14 15:55:00+00:00,60.75,8.25,34.75,13.709785532904553,0.5151667540759935,17.87,298.9761986676981,297.9402487974558,285.8689297238792,270.4329897602381,749.27,747.653454875885,721.4,720.1661016144583,0,3,1
2026-05-14 16:00:00+00:00,70.0,0.0,41.0,12.755308049999684,0.5413099032231333,17.87,298.9761986676981,297.9402487974558,285.8689297238792,270.4329897602381,749.42,747.8140498871682,721.78,720.3128196495076,0,4,0
2026-05-14 16:05:00+00:00,60.75,8.25,34.75,11.869007530159449,0.3824844566987516,17.87,298.9761986676981,297.9402487974558,285.8689297238792,270.4329897602381,749.19,747.939136261062,721.63,720.4325633177341,0,3,1
2026-05-14 16:10:00+00:00,58.5,18.5,31.75,11.855491823251098,0.7009272816007809,17.87,298.9690442433619,297.9402487974558,285.8689297238792,270.4329897602381,748.94,748.0301238736928,721.42,720.5223302888492,0,3,1
2026-05-14 16:15:00+00:00,43.5,25.5,31.75,11.712202980643232,0.5489994824909437,17.87,298.9690442433619,297.9402487974558,285.8689297238792,270.4329897602381,749.01,748.1192035215389,721.31,720.5939366262265,0,3,1
2026-05-14 16:20:00+00:00,47.5,29.5,31.75,11.912664002496715,0.7563377145704703,17.87,298.9690442433619,297.9402487974558,285.8689297238792,270.4329897602381,748.669,748.1691850195808,721.43,720.6699423874786,0,3,1
2026-05-14 16:25:00+00:00,42.5,34.5,28.416666666666664,12.779638639457296,0.8761590749983063,17.87,298.9329947666926,297.9402487974558,285.8689297238792,270.4329897602381,748.0,748.1538045632553,720.7,720.6726748977078,0,3,1
2026-05-14 16:30:00+00:00,34.5,52.5,26.25,13.679510348582452,0.7515162557523859,17.87,298.9329947666926,297.9402487974558,285.8689297238792,270.4329897602381,747.63,748.1061859665957,720.21,720.6306135433707,0,3,1
2026-05-14 16:35:00+00:00,34.5,49.5,22.916666666666664,15.05601262206476,0.9394417581552084,17.87,298.9329947666926,297.9402487974558,285.8689297238792,270.4329897602381,748.11,748.1065326969052,720.62,720.6296486757916,0,3,1
2026-05-14 16:40:00+00:00,30.5,41.5,26.25,16.334193304584048,0.5200408388667593,17.87,298.8695406969933,297.9402487974558,285.8689297238792,270.4329897602381,747.85,748.0832115426412,720.53,720.620589705265,0,3,1
2026-05-14 16:45:00+00:00,42.5,50.5,39.16666666666666,19.904374716828524,3.726633091328509,17.87,298.8695406969933,297.9402487974558,285.8689297238792,270.4329897602381,748.06,748.081101402401,720.79,720.63599064115,10,2,2
2026-05-14 16:50:00+00:00,42.5,53.5,45.16666666666666,23.554675201773563,1.8597695584652916,17.87,298.8695406969933,297.9402487974558,285.8689297238792,270.4329897602381,747.73,748.0491830930919,720.83,720.6536278555909,8,2,2
2026-05-14 16:55:00+00:00,47.5,44.5,37.16666666666666,26.6510670902639,0.7346581685891718,17.87,298.7275369972666,297.9306807249598,285.8689297238792,270.4329897602381,747.829,748.0291664482653,720.74,720.661479868719,0,2,2
2026-05-14 17:00:00+00:00,43.5,44.5,33.833333333333336,29.22590545154618,0.6841552316910983,17.87,298.7275369972666,297.9306807249598,285.8689297238792,270.4329897602381,748.159,748.040969498423,721.129,720.7039816988354,0,2,2
2026-05-14 17:05:00+00:00,34.5,40.5,43.5,31.61682678702258,0.4968216485501662,17.87,298.7275369972666,297.9306807249598,285.8689297238792,270.4329897602381,747.45,747.9872449985663,719.76,720.6181651807594,0,2,2
2026-05-14 17:10:00+00:00,43.5,44.5,43.5,33.38022055002785,0.6449345983352304,17.87,298.63298817933327,297.9306807249598,285.8689297238792,270.4329897602381,747.06,747.9029499986966,719.06,720.4765138006904,0,2,2
2026-05-14 17:15:00+00:00,34.5,42.5,43.5,35.11811260904679,0.529108586044956,17.87,298.63298817933327,297.9306807249598,285.8689297238792,270.4329897602381,746.5,747.7754090897242,718.089,720.2594670915367,0,2,2
2026-05-14 17:20:00+00:00,39.5,42.5,43.5,36.45487939668538,0.4905140776503258,17.87,298.63298817933327,297.9306807249598,285.8689297238792,270.4329897602381,746.7,747.677644627022,718.27,720.0786064468516,0,2,2
2026-05-14 17:25:00+00:00,62.75,26.25,37.75,36.27167567773149,0.7043419017348308,17.87,298.57010289030296,297.9306807249598,285.8689297238792,270.4329897602381,746.9,747.6069496609291,718.79,719.9614604062288,0,3,1
2026-05-14 17:30:00+00:00,76.75,18.25,47.083333333333336,35.43880601433311,0.6235223414348426,17.87,298.57010289030296,297.9306807249598,285.8689297238792,270.4329897602381,747.07,747.5581360553902,718.959,719.8703276420262,0,3,1
2026-05-14 17:35:00+00:00,54.75,20.25,41.083333333333336,34.665427041177466,0.6023151884655168,17.87,298.57010289030296,297.9306807249598,285.8689297238792,270.4329897602381,747.67,747.5683055049001,719.77,719.8612069472965,0,3,1
2026-05-14 17:40:00+00:00,54.75,20.25,44.41666666666666,33.94728942324722,0.5503812603988653,17.87,298.5455480820936,297.9306807249598,285.8689297238792,270.4329897602381,747.71,747.5811868226365,720.05,719.8783699520877,0,3,1
2026-05-14 17:45:00+00:00,54.75,20.25,44.41666666666666,32.881836756895304,0.489625093909355,17.87,298.5455480820936,297.9306807249598,285.8689297238792,270.4329897602381,748.15,747.6328971114878,720.71,719.9539726837161,0,3,1
2026-05-14 17:50:00+00:00,50.75,24.25,40.41666666666666,31.89248785242566,0.5003360965418896,17.87,298.5455480820936,297.9306807249598,285.8689297238792,270.4329897602381,747.95,747.6617246468071,721.01,720.0499751670146,0,3,1
2026-05-14 17:55:00+00:00,50.75,24.25,40.41666666666666,30.301254452985397,0.4954336770202197,17.87,298.51856643826693,297.93334611359984,285.8689297238792,270.4329897602381,747.72,747.6670224061883,720.77,720.1154319700133,0,3,1
2026-05-14 18:00:00+00:00,45.5,37.5,40.5,29.99605213470296,0.7923186755380338,17.87,298.51856643826693,297.93334611359984,285.8689297238792,270.4329897602381,746.86,747.5936567328985,718.98,720.0122108818304,0,2,2
2026-05-14 18:05:00+00:00,46.5,33.5,40.5,29.712649982012124,0.5565922844664082,17.87,298.51856643826693,297.93334611359984,285.8689297238792,270.4329897602381,747.33,747.5696879389986,719.06,719.9256462562095,0,2,2
2026-05-14 18:10:00+00:00,54.75,20.25,38.083333333333336,28.81976118450832,0.5919498265368193,17.87,298.4807422166063,297.93334611359984,285.8689297238792,270.4329897602381,747.82,747.5924435809079,719.83,719.9169511420087,0,3,1
2026-05-14 18:15:00+00:00,77.75,11.25,50.75,27.54290145420378,0.6992615784286302,17.87,298.4807422166063,297.93334611359984,285.8689297238792,270.4329897602381,748.25,747.652221437189,720.13,719.9363192200078,0,3,1
2026-05-14 18:20:00+00:00,71.75,11.25,47.41666666666666,26.35724599034956,0.6945270817280025,17.87,298.4807422166063,297.93334611359984,285.8689297238792,270.4329897602381,748.01,747.684746761081,719.48,719.8948356545526,0,3,1
2026-05-14 18:25:00+00:00,67.75,15.25,40.083333333333336,25.256280202484927,0.7130924010515196,17.87,298.47067474236934,297.93334611359984,285.8689297238792,270.4329897602381,747.56,747.6734061464373,719.43,719.852577867775,0,3,1
2026-05-14 18:30:00+00:00,67.75,15.25,39.41666666666666,23.9286005137664,0.7291305105074688,17.87,298.47067474236934,297.93334611359984,285.8689297238792,270.4329897602381,747.78,747.6830964967612,719.76,719.8441616979773,0,3,1
2026-05-14 18:35:00+00:00,63.75,11.25,39.41666666666666,23.017548329317624,0.5365206928310408,17.87,298.47067474236934,297.93334611359984,285.8689297238792,270.4329897602381,747.78,747.6919059061465,719.63,719.8246924527066,0,3,1
2026-05-14 18:40:00+00:00,63.75,8.25,39.41666666666666,21.952617219790348,0.5120606191357534,17.87,298.4599315839721,297.93334611359984,285.8689297238792,270.4329897602381,747.77,747.6990053692241,719.429,719.7887204115515,0,3,1
2026-05-14 18:45:00+00:00,63.75,8.25,39.41666666666666,21.02808232507647,0.4066475363297374,17.87,298.4599315839721,297.93334611359984,285.8689297238792,270.4329897602381,748.03,747.7290957902037,719.68,719.7788367377741,0,3,1
2026-05-14 18:50:00+00:00,91.0,5.0,53.0,19.91605628649155,1.6103435153332857,17.87,298.4599315839721,297.93334611359984,285.8689297238792,270.4329897602381,747.95,747.7491779910943,720.04,719.802578852522,8,4,0
2026-05-14 18:55:00+00:00,87.0,0.0,45.0,19.04588205690414,0.7754168228875745,17.87,298.46107416724743,297.9639510123635,285.8689297238792,270.4329897602381,748.3,747.7992527191766,720.28,719.8459807750199,0,4,0
2026-05-14 19:00:00+00:00,83.0,0.0,45.0,18.46849132548829,0.6384555109893946,17.87,298.46107416724743,297.9639510123635,285.8689297238792,270.4329897602381,748.47,747.860229744706,720.56,719.9108916136545,0,4,0
2026-05-14 19:05:00+00:00,87.0,0.0,45.0,18.19494932047435,0.6823242288095974,17.87,298.46107416724743,297.9639510123635,285.8689297238792,270.4329897602381,748.61,747.9283906770054,720.56,719.9699014669586,0,4,0
2026-05-14 19:10:00+00:00,83.0,0.0,45.0,18.007983163054668,0.7661966704646158,17.87,298.4857492429522,297.9639510123635,285.8689297238792,270.4329897602381,748.4,747.9712642518231,720.19,719.9899104245078,0,4,0
2026-05-14 19:15:00+00:00,87.0,9.0,49.0,18.07432787186185,1.9960638312344967,17.87,298.4857492429522,297.9639510123635,285.8689297238792,270.4329897602381,748.47,748.0166038652937,720.31,720.0190094768253,8,4,0
2026-05-14 19:20:00+00:00,91.0,5.0,51.0,18.37386868461305,1.2339354225154864,17.87,298.4857492429522,297.9639510123635,285.8689297238792,270.4329897602381,748.42,748.0532762411761,720.47,720.0600086152957,6,4,0
2026-05-14 19:25:00+00:00,87.0,9.0,43.66666666666666,18.98215427827863,1.2103494216181585,17.87,298.53113567541106,297.9639510123635,285.8689297238792,270.4329897602381,748.08,748.0557056737965,719.99,720.0536441957233,6,4,0
2026-05-14 19:30:00+00:00,79.0,6.0,41.0,18.192746566734456,1.001670195209238,17.87,298.53113567541106,297.9639510123635,285.8689297238792,270.4329897602381,748.335,748.0810960670877,720.32,720.0778583597485,0,4,0
2026-05-14 19:35:00+00:00,76.0,9.0,41.0,17.459725120300583,0.9346974717864344,17.87,298.53113567541106,297.9639510123635,285.8689297238792,270.4329897602381,748.41,748.1109964246252,720.5,720.1162348724986,0,4,0
2026-05-14 19:40:00+00:00,84.0,17.0,49.0,16.452609445240824,1.519372390479882,17.87,298.5612597049192,297.9639510123635,285.8689297238792,270.4329897602381,748.52,748.1481785678411,720.73,720.1720317022714,8,4,0
2026-05-14 19:45:00+00:00,55.5,44.5,37.75,16.408238217744113,1.3633925421675686,17.87,298.5612597049192,297.9639510123635,285.8689297238792,270.4329897602381,748.33,748.1647077889464,720.47,720.1991197293377,6,3,1
2026-05-14 19:50:00+00:00,47.5,58.5,35.416666666666664,17.11840697107691,2.481320551191869,17.87,298.5612597049192,297.9639510123635,285.8689297238792,270.4329897602381,748.17,748.1651888990422,720.3,720.2082906630343,10,3,1
2026-05-14 19:55:00+00:00,42.5,53.5,36.25,18.12194782993041,3.939513494186835,17.87,298.5415997317447,298.00813728396685,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,10,3,1
2026-05-14 20:00:00+00:00,35.5,41.5,26.25,19.053807198865798,0.0138194511945161,17.87,298.5415997317447,298.00813728396685,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 20:05:00+00:00,30.5,41.5,26.25,20.265776385209936,0.0212215635388367,17.87,298.5415997317447,298.00813728396685,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 20:10:00+00:00,30.5,41.5,26.25,21.41771470404331,0.0010678975174349,17.87,298.5100906652225,298.00813728396685,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 20:15:00+00:00,30.5,44.5,32.5,23.519455901729284,0.057479353289172,17.26,298.5100906652225,298.00813728396685,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,2,2
2026-05-14 20:20:00+00:00,30.5,44.5,32.5,25.471072728151977,0.0248228760201738,17.26,298.5100906652225,298.00813728396685,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,2,2
2026-05-14 20:25:00+00:00,39.5,40.5,28.5,27.283288352687336,0.0034635567406507,17.26,298.4605369683841,298.00813728396685,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,2,2
2026-05-14 20:30:00+00:00,34.5,40.5,28.5,28.966060004041594,0.0063486022412042,17.26,298.4605369683841,298.00813728396685,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,2,2
2026-05-14 20:35:00+00:00,39.5,40.5,22.25,29.933079767323296,0.0107576119784915,17.26,298.4605369683841,298.00813728396685,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 20:40:00+00:00,34.5,40.5,28.5,30.1995544384832,0.0541888780568749,17.26,298.41526088034914,298.00813728396685,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,2,2
2026-05-14 20:45:00+00:00,34.5,40.5,28.5,30.79867747497519,0.0132472115602926,17.26,298.41526088034914,298.00813728396685,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,2,2
2026-05-14 20:50:00+00:00,41.5,37.5,22.25,30.541095248238253,0.0001110335932136,17.26,298.41526088034914,298.00813728396685,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 20:55:00+00:00,34.5,40.5,22.25,30.30191175198253,0.0050660602746034,17.26,298.37228261849924,298.01239753087896,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 21:00:00+00:00,37.5,37.5,22.25,29.25946061196938,0.0209251298852705,17.26,298.37228261849924,298.01239753087896,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 21:05:00+00:00,48.5,26.5,22.75,28.23446025238444,0.0400824600302462,17.26,298.37228261849924,298.01239753087896,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 21:10:00+00:00,54.75,20.25,22.75,27.222151893768874,0.0067639894473335,17.26,298.3511660168175,298.01239753087896,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 21:15:00+00:00,48.5,26.5,22.75,26.4017149707769,0.0277776581496203,17.26,298.3511660168175,298.01239753087896,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 21:20:00+00:00,45.5,29.5,22.75,25.6398806851415,0.0324789159480716,17.26,298.3511660168175,298.01239753087896,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 21:25:00+00:00,48.5,26.5,22.75,24.932463134194336,0.0104479691138132,17.26,298.3315145607432,298.01239753087896,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 21:30:00+00:00,54.75,20.25,22.75,23.67884707487065,0.0199849659140983,17.26,298.3315145607432,298.01239753087896,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 21:40:00+00:00,83.0,0.0,38.333333333333336,22.76011511828441,0.0971157356699525,17.26,298.32796778249383,298.01239753087896,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,4,0
2026-05-14 21:45:00+00:00,64.75,7.25,25.75,21.90700687288291,0.0015410255239486,17.26,298.32796778249383,298.01239753087896,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 21:50:00+00:00,64.75,7.25,25.75,21.660031062333704,0.0044053725966245,17.26,298.32796778249383,298.01239753087896,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 21:55:00+00:00,57.75,14.25,19.25,21.353428037139587,0.0050136363797989,17.26,298.3236070749944,298.03036139170814,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 22:00:00+00:00,60.75,11.25,21.75,21.65107125520381,0.0136719510770069,17.26,298.3236070749944,298.03036139170814,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 22:05:00+00:00,60.75,11.25,19.25,21.759475061374808,0.0168573504807936,17.26,298.3236070749944,298.03036139170814,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 22:10:00+00:00,63.75,11.25,21.75,22.1733646264104,0.0667719997252181,17.26,298.32282461363127,298.03036139170814,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 22:15:00+00:00,54.5,20.5,19.25,22.374765754534145,0.0278309456656767,17.26,298.32282461363127,298.03036139170814,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 22:20:00+00:00,51.5,24.5,22.25,21.612897374805456,0.00037652965171,17.26,298.32282461363127,298.03036139170814,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 22:25:00+00:00,64.75,7.25,25.75,21.048991396769942,0.009147997446184,17.26,298.3139314669375,298.03036139170814,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 22:30:00+00:00,61.75,18.25,19.25,21.021777505183856,0.6464124111182935,17.26,298.3139314669375,298.03036139170814,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,3,1
2026-05-14 22:35:00+00:00,89.0,0.0,38.333333333333336,21.057290659051997,0.0066986714301663,17.26,298.3139314669375,298.03036139170814,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,4,0
2026-05-14 22:40:00+00:00,83.0,0.0,38.333333333333336,21.2780302054826,0.0177032928124631,17.26,298.31357406085226,298.03036139170814,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,4,0
2026-05-14 22:45:00+00:00,91.0,5.0,48.333333333333336,21.958427960377836,2.155333406569263,17.26,298.31357406085226,298.03036139170814,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,10,4,0
2026-05-14 22:50:00+00:00,86.0,0.0,38.333333333333336,22.70429830347937,0.083980150146329,17.26,298.31357406085226,298.03036139170814,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,4,0
2026-05-14 22:55:00+00:00,78.0,2.0,34.333333333333336,23.396892193502225,0.0163755458515283,17.26,298.3234764189566,298.055783083371,286.3431873817663,270.4329897602381,748.07,748.1565353627656,719.74,720.1657187845766,0,4,0
